AREA 1,AREA 2,M3,backload,standard
Brisbane,Sydney,1,300,400
Brisbane,Sydney,2,300,400
Brisbane,Sydney,3,300,400
Brisbane,Sydney,4,300,400
Brisbane,Sydney,5,300,400
Brisbane,Sydney,6,330,400
Brisbane,Sydney,7,350,440
Brisbane,Sydney,8,400,500
Brisbane,Sydney,9,450,550
Brisbane,Sydney,10,500,600
Brisbane,Sydney,11,550,660
Brisbane,Sydney,12,600,720
Brisbane,Sydney,13,650,780
Brisbane,Sydney,14,700,840
Brisbane,Sydney,15,750,900
Brisbane,Sydney,16,800,960
Brisbane,Sydney,17,850,1020
Brisbane,Sydney,18,900,1080
Brisbane,Sydney,19,950,1140
Brisbane,Sydney,20,1000,1200
Brisbane,Sydney,21,1050,1260
Brisbane,Sydney,22,1100,1320
Brisbane,Sydney,23,1150,1380
Brisbane,Sydney,24,1200,1440
Brisbane,Sydney,25,1250,1500
Brisbane,Sydney,26,1300,1560
Brisbane,Sydney,27,1350,1620
Brisbane,Sydney,28,1400,1680
Brisbane,Sydney,29,1450,1740
Brisbane,Sydney,30,1500,1800
Brisbane,Sydney,31,1550,1860
Brisbane,Sydney,32,1600,1920
Brisbane,Sydney,33,1650,1980
Brisbane,Sydney,34,1700,2040
Brisbane,Sydney,35,CLEARSKY ,CLEARSKY 